Model,Mean ROC AUC,Std
Stacking Classifier,0.9527621898096468,0.0
XGBoost,0.9456284986720478,0.0038550439574121073
LightGBM,0.9453420046676232,0.0037069214141282293
Voting Classifier,0.9405140297283626,0.0
Bagging,0.9291380606422133,0.0036150291113662245
Random Forest,0.927613742332843,0.004101217839286193
Gradient Boosting,0.9267995731669456,0.0034657828279115927
Extra Trees,0.9144957743566169,0.005717995143096781
AdaBoost,0.8864320040030172,0.006606281199362552
Logistic Regression,0.8746793905688734,0.006324461874265999
Decision Tree,0.8387485677553702,0.007125452253802592
CatBoost,,
